Region,Watershed,Segment Interval,Independent Variable,RMSPE,Mean Response,SD Response,Mean Residuals,SD Residuals,AIC,Bias,RAV,FileBaseName
CPF,MW,10m,sfm_deposition_logtrans,0.0352530929035776,0.0568767578105434,0.0357936238358789,-0.174120283299038,0.767590389332632,-604.369719624694,0.0003175588769493,0.0005098812305993,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,MW,10m,sfm_net change_logtrans,0.0473277985322134,0.0550213309024368,0.0485816117301723,-0.294193230142359,0.977858442761415,-566.224581841484,0.0008593915374291,0.0006831277763907,ch_sfm_net_change_corr_0.7_evaluation
CPF,UE,10m,lidar_erosion_logtrans,0.0382083028371721,0.053804852243599,0.040226120029307,-0.174672260932675,0.738209474421253,-440.266529743766,0.0006646276099418,0.0005437936321816,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,UE,10m,sfm_deposition_logtrans,0.0250616590784469,0.0336012420707095,0.0311320291951682,-0.186781208932035,0.753002738378444,-594.449502949807,0.0006007920004394,0.000361186115738,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,UE,10m,sfm_erosion_logtrans,0.054790406483183,0.0737405929767152,0.0598185586990767,-0.190223057153837,0.764718133549225,-379.07052054295,0.0029030083810705,0.0006998669419396,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,UE,10m,sfm_net change_logtrans,0.046251252446551,0.0709573738162482,0.052901850169981,-0.194846327484239,0.787724729916492,-363.358335294296,-0.0002420738991115,0.000675578909761,ch_sfm_net_change_corr_0.7_evaluation
CPF,UM,10m,sfm_deposition_logtrans,0.0183970451154143,0.0309896389245397,0.0210740257887004,-0.136077999086148,0.656071951793018,-426.979576514588,4.38913100856766e-05,0.0003017351202868,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,UM,10m,sfm_erosion_logtrans,0.026898294441845,0.0313428651895401,0.0288591892556633,-0.186597217711064,0.74842522152856,-386.284451641345,-1.66050741183177e-05,0.0004663088861734,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,UW,10m,lidar_erosion_logtrans,0.0108735773349177,0.0125372496993599,0.0123425434544871,-0.519391888463497,1.54300705796943,-841.408045797862,-6.45960768849032e-05,0.0001691979283016,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,CPF,20m,lidar_erosion_logtrans,0.0495428756733136,0.0619952697917854,0.0582867160650718,-0.277839099396377,1.01834265740435,-713.611835837202,0.0030948657466737,0.0006027027270058,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,CPF,20m,sfm_deposition_logtrans,0.0594465387694686,0.0827815519954797,0.0693490311862475,-0.259632097583921,0.952333175924972,-728.652466230519,-0.0004928153440376,0.0071552361760654,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,CPF,20m,sfm_erosion_logtrans,0.108653122717795,0.128191019156997,0.143677802544282,-0.204669904673644,0.815236832179206,-355.953784194953,-0.0121323195412537,0.373006505914134,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,CPF,20m,sfm_net change_logtrans,0.128084189439987,0.128668097996669,0.13146682044434,-0.415596853261016,1.20195286201289,-397.692486144143,0.004583989536473,0.001503023114133,ch_sfm_net_change_corr_0.7_evaluation
CPF,ME,20m,sfm_deposition_logtrans,0.0394493054585013,0.0578405234747538,0.0486421144681116,-0.140128063865625,0.669962567646482,-306.620716896237,0.0005392077881575,0.0005636883419029,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,ME,20m,sfm_erosion_logtrans,0.216399908336169,0.231774231970573,0.247644586831123,-0.338666148808617,1.06066119483762,-43.9800188805767,0.0047915628799485,0.002475428600513,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,ME,20m,sfm_net change_logtrans,0.169891471064442,0.166253734816743,0.190655417074674,-0.465797046021874,1.30545778030918,-116.197992491876,0.0050645708437757,0.0020723176924474,ch_sfm_net_change_corr_0.7_evaluation
CPF,MM,20m,lidar_erosion_logtrans,0.098472617462861,0.117420298893868,0.0995190262210919,-0.297545893102089,0.989781255130452,-99.4565716847294,0.0003457382690205,0.0014253155781073,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,MM,20m,sfm_deposition_logtrans,0.0454025470273608,0.0448357506434458,0.0478438490199789,-0.406550271577635,1.12831005127839,-212.995467691,0.0002208262004692,0.0006979661113637,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,MM,20m,sfm_erosion_logtrans,0.395795225585644,0.40819810219001,0.414741755156922,-0.384249546106196,1.18433174534403,42.6834392159134,0.0108866600843733,0.0038358295603658,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,MM,20m,sfm_net change_logtrans,0.440734944178326,0.395963104024288,0.447057018590161,-0.448651012626137,1.25378885195609,33.6655357311013,0.0174327283083253,0.0040223461063286,ch_sfm_net_change_corr_0.7_evaluation
CPF,MW,20m,sfm_deposition_logtrans,0.060482012218014,0.12117828991936,0.0701268424008909,-0.122428458549115,0.639036685201935,-209.39169750466,5.42735037663081e-06,0.0009304864287967,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,MW,20m,sfm_erosion_logtrans,3.46857017444316,3.20287309499009,3.48991209818961,-0.338784553322202,1.00356234064716,513.628350552892,0.209955326951516,0.0476048163949132,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,MW,20m,sfm_net change_logtrans,0.0855877814024429,0.111088933795685,0.094420113233714,-0.233598254517251,0.861824605055152,-177.283375870704,0.0004782026906086,0.0012539285352468,ch_sfm_net_change_corr_0.7_evaluation
CPF,UE,20m,lidar_erosion_logtrans,0.0575994083901741,0.0996601960745836,0.0612632780783113,-0.114275334384537,0.593210278436182,-148.292654846546,-3.60139718433986e-05,0.0008203132911904,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,UE,20m,sfm_deposition_logtrans,0.0370727473491616,0.0633837652206809,0.0507858809951216,-0.131567734033246,0.634005845767927,-220.250983408204,0.0008180487304883,0.0005420403095201,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,UE,20m,sfm_erosion_logtrans,0.0942097639617652,0.143189564116319,0.103662310971316,-0.170423162742461,0.728855677063959,-92.6740955187206,0.0020630158713478,0.0012588766033439,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,UE,20m,sfm_net change_logtrans,0.118624772397809,0.154241611608346,0.124407833244831,-0.183387256420747,0.743804690299568,-75.4377917646616,3.07102072001163e-05,0.0015261022569946,ch_sfm_net_change_corr_0.7_evaluation
CPF,UM,20m,lidar_erosion_logtrans,0.0256464774815704,0.0281489362702148,0.0280387543330434,-0.574708698587122,1.59623391640937,-256.426104039461,0.0005936908427742,0.0003758056885489,ch_lidar_erosion_sum_corr_0.7_evaluation
