"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep","prefix"
"ch_stream.power.central.diff",0.0047877143334561,0.016871850664247,0.283769364056885,0.776587133744243,-0.0282805053210062,0.0378559339879184,3,"Bennett"
"hs_bare.earth.mean",0.0102395979644864,0.00877753021348726,1.16656937833749,0.243384315608586,-0.00696404512716082,0.0274432410561336,3,"Bennett"
"hs_curvature.median",-0.0379257581618314,0.0143664475356529,-2.63988422104433,0.00829343546166061,-0.0660834779174954,-0.00976803840616745,3,"Bennett"
"hs_dnbr.median",-0.0571042266360288,0.0408176510471245,-1.39900815385239,0.161810537948232,-0.137105352621916,0.022896899349859,3,"Bennett"
"hs_drainage_density",-0.00262552711754378,0.0013048861375018,-2.01207372972046,0.0442121654488337,-0.00518305695097288,-6.79972841146704e-05,3,"Bennett"
"hs_eastness.median",-0.0741293492329797,0.0510229388964518,-1.45286317950875,0.146261745918117,-0.174132471855413,0.0258737733894537,3,"Bennett"
"hs_flow.accumulation.max",-0.145251128565379,0.0750534845108211,-1.93530159874771,0.0529532962778467,-0.292353255120823,0.00185099799006563,3,"Bennett"
"hs_hillslope.length",0.159418386399977,0.0588311722384109,2.70976049489444,0.00673318090801711,0.0441114076444186,0.274725365155535,3,"Bennett"
"hs_ndvi.min",0.019437959882214,0.0651489474444506,0.298361840746358,0.765427010115348,-0.108251630739602,0.14712755050403,3,"Bennett"
"hs_ndvi.range",0.191828361881036,0.0751667194000032,2.55203850071216,0.0107094683668294,0.0445042990210015,0.33915242474107,3,"Bennett"
"hs_northness.median",-0.146226486390466,0.0641520332165568,-2.27937415322211,0.0226448334227627,-0.271962161029934,-0.0204908117509971,3,"Bennett"
"hs_slope.median",0.493464850317256,0.0644610959016515,7.65523519907476,1.93178806284777e-14,0.367123423946037,0.619806276688475,3,"Bennett"
"ws_accum_precip.mean",-0.297071323020917,0.0644270671243733,-4.61097076555472,4.0079290521966e-06,-0.423346054214233,-0.1707965918276,3,"Bennett"
"ws_bare.earth.mean",-0.00731948469500301,0.0152448249250471,-0.480129140937339,0.631135568270758,-0.0371987924987139,0.0225598231087079,3,"Bennett"
"ws_eastness.mean",0.235331905734778,0.0511054156410599,4.60483302567456,4.12796936188897e-06,0.13516713166335,0.335496679806205,3,"Bennett"
"ws_Kw",-0.0218426948501593,0.06154004949686,-0.354934632466842,0.72263856248549,-0.142458975470817,0.0987735857704986,3,"Bennett"
"ws_mi60.max",-0.288425599413299,0.0461230076297885,-6.25339964228654,4.01612743061719e-10,-0.378825033226351,-0.198026165600247,3,"Bennett"
"ws_ndvi.range",-1.05700609156988,0.0960619994084359,-11.003373842717,0,-1.24528415069332,-0.86872803244644,3,"Bennett"
