rid,binaryID
480,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001
481,1000110000000000010110101000100100000000000000000100000000000100000000000000011
482,100011000000000001011010100010010000000000000000010000000000010000000000000000010
483,10001100000000000101101010001001000000000000000001000000000001000000000000000001
484,1000110000000000010110101000100100000000000000000100000000000100000000000000000110
485,100011000000000001011010100010010000000000000000010000000000010000000000000000011
486,10001100000000000101101010001001000000000000000001000000000001000000000000000001110
487,1000110000000000010110101000100100000000000000000100000000000100000000000000000111
488,10001100000000000101101010001001000000000000000001000000000001000000000000000001111
489,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010000001011
490,100011000000000001011010100010010000000000000000010000000000010000000000000000000001
491,1000110000000000010110101000100100000000000000000100000000000100000000000000000000001
492,100011000000000001011010100010010000000000000000010000000000010000000000000000000000010
493,10001100000000000101101010001001000000000000000001000000000001000000000000000000000001
494,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000010
495,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000001
496,100011000000000001011010100010010000000000000000010000000000010000000000000000000000011
497,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000011
498,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000101
499,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010101000
500,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010100
501,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101010
502,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010101
503,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101011
504,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100000011
505,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101001
506,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000011
507,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010101001
508,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100001
509,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100000010111
510,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101000001
511,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010001
512,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001001
513,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010101
