"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep","prefix"
"ch_stream.power",0.531941444805033,0.152567744203989,3.48659179291402,0.000489217462044333,0.232914160962696,0.830968728647371,3,"MM"
"hs_area",0.164223399301773,0.138265284540609,1.18774137591668,0.234935317228946,-0.106771578710002,0.435218377313549,3,"MM"
"hs_bare.earth.mean",0.00197879292348671,0.0165394393520537,0.119640870610345,0.904767642172319,-0.030437912531023,0.0343954983779965,3,"MM"
"hs_curvature.median",0.000941711632515517,0.0773018375999513,0.0121822670942057,0.990280197586027,-0.150567106002153,0.152450529267184,3,"MM"
"hs_dnbr.median",-0.0108952084043291,0.124242532756572,-0.0876930642236352,0.930120632334838,-0.254406097955248,0.232615681146589,3,"MM"
"hs_drainage_density",-0.0451373246021753,0.0463424571426246,-0.973995065977182,0.330058989076168,-0.13596687155681,0.0456922223524598,3,"MM"
"hs_flow.accumulation.max",0.0716265444551261,0.235351314629539,0.304338833066948,0.760869762873305,-0.389653555932925,0.532906644843178,3,"MM"
"hs_ndvi.min",0.344553900408834,0.149749344839227,2.3008708370561,0.0213989329569262,0.0510505778154804,0.638057223002187,3,"MM"
"hs_ndvi.range",0.563407201727208,0.228730437140849,2.463192956608,0.0137705784624051,0.115103782763042,1.01171062069137,3,"MM"
"hs_northness.median",0.156394862887434,0.138550317831822,1.12879468870849,0.258984453731954,-0.115158770109515,0.427948495884383,3,"MM"
