"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
349,16,7,-591.345370797616,-545.345370797616,-541.948447720693,295.672685398808,310.498100042601,0.510228836089408,49
349,16,7,-495.177597554669,-449.177597554669,-445.780674477746,247.588798777334,336.411967944879,0.363867688981185,51
349,16,7,-598.635197429701,-552.635197429701,-549.238274352778,299.31759871485,250.159730714895,0.51580638107618,52
349,16,7,-607.928283387468,-561.928283387468,-558.531360310545,303.964141693734,259.398950524165,0.395464109243394,53
349,16,7,-591.206974190925,-545.206974190925,-541.810051114002,295.603487095462,335.607075546105,0.404224260216952,55
349,16,7,-476.060172013158,-430.060172013158,-426.663248936235,238.030086006579,319.876512415114,0.471199193658055,60
349,16,7,-590.508119184544,-544.508119184544,-541.111196107621,295.254059592272,323.158607127131,0.362913460739674,61
349,16,7,-551.827561380898,-505.827561380898,-502.430638303975,275.913780690449,215.13301957753,0.0155845288112494,63
349,16,7,-624.076008512085,-578.076008512085,-574.679085435162,312.038004256043,342.31503547885,0.248177356258099,65
349,16,7,-599.410259968645,-553.410259968645,-550.013336891722,299.705129984323,305.137253120503,0.361066317425148,67
349,16,7,-680.951761209474,-634.951761209474,-631.554838132551,340.475880604737,345.510611062037,0.391770376229045,70
349,16,7,-1782.74633267523,-1736.74633267523,-1733.34940959831,891.373166337616,1.7521517146056e-13,0.224457444925371,71
349,16,7,-743.802520510381,-697.802520510381,-694.405597433458,371.901260255191,266.687548902744,0.443282297790779,73
349,16,7,-628.870241417006,-582.870241417006,-579.473318340083,314.435120708503,273.468988108742,0.393733485710504,74
349,16,7,-628.860793144922,-582.860793144922,-579.463870067999,314.430396572461,278.743076539344,0.302241958350165,77
349,16,7,-661.23017777174,-615.23017777174,-611.833254694817,330.61508888587,290.788306623305,0.447806813250753,79
349,16,7,-630.292438470329,-584.292438470329,-580.895515393406,315.146219235165,285.859353681917,0.419570682281021,80
349,16,7,-710.69221194669,-664.69221194669,-661.295288869767,355.346105973345,221.195304086937,0.339872776373775,82
349,16,7,-507.979354435396,-461.979354435396,-458.582431358473,253.989677217698,334.784948445664,0.423680295502982,83
349,16,7,-527.751920452546,-481.751920452546,-478.354997375623,263.875960226273,301.323857182916,0.345326920364276,84
349,16,7,-582.666510505552,-536.666510505552,-533.269587428629,291.333255252776,332.19000691894,0.334517981596994,85
349,16,7,-599.556802070735,-553.556802070735,-550.159878993812,299.778401035367,329.179202998103,0.290188942524811,86
349,16,7,-562.407039574085,-516.407039574085,-513.010116497162,281.203519787043,341.145202405395,0.375288096821332,88
349,16,7,-637.684411638661,-591.684411638661,-588.287488561738,318.842205819331,284.635990623423,0.361523507049896,89
349,16,7,-537.484059572719,-491.484059572719,-488.087136495796,268.742029786359,350.513848200428,0.449973868837934,90
349,16,7,-565.79510469992,-519.79510469992,-516.398181622997,282.89755234996,335.130451348393,0.415870976393163,91
349,16,7,-496.557499973098,-450.557499973098,-447.160576896175,248.278749986549,380.686317726109,0.373304936001973,92
349,16,7,-669.886831248968,-623.886831248968,-620.489908172045,334.943415624484,312.317112660733,0.362007594596235,95
349,16,7,-596.302129903008,-550.302129903008,-546.905206826085,298.151064951504,246.56702231137,0.393471412903852,96
349,16,7,-1619.60868766531,-1573.60868766531,-1570.21176458838,809.804343832653,1.61771618853778e-14,0,97
349,16,7,-537.475825246647,-491.475825246647,-488.078902169723,268.737912623323,332.367316433283,0.410268951233922,99
