"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0.361066317425148,67
"tailup_de",0.0193959347229645,67
"taildown_de",0,67
"euclid_de",2.55124270036058e-08,67
"nugget",3.11563885563924e-12,67
"1 | as.factor(ch_watershed)",0.619537722336345,67
"Covariates (PR-sq)",0.391770376229045,70
"tailup_de",0.608151873463986,70
"taildown_de",0,70
"euclid_de",7.77503069587316e-05,70
"nugget",0,70
"1 | as.factor(ch_watershed)",9.90760473833258e-15,70
"Covariates (PR-sq)",0.224457444925371,71
"tailup_de",1.52901893805522e-13,71
"taildown_de",0,71
"euclid_de",0.325117080745098,71
"nugget",7.09355553421377e-06,71
"1 | as.factor(ch_watershed)",0.450418380773844,71
"Covariates (PR-sq)",0.443282297790779,73
"tailup_de",6.14689475036623e-05,73
"taildown_de",0,73
"euclid_de",1.59460120912136e-06,73
"nugget",5.83065844051201e-12,73
"1 | as.factor(ch_watershed)",0.556654638654678,73
"Covariates (PR-sq)",0.393733485710504,74
"tailup_de",0.0356675459481144,74
"taildown_de",0,74
"euclid_de",3.12289587939255e-05,74
"nugget",6.58042606051787e-10,74
"1 | as.factor(ch_watershed)",0.570567738724545,74
"Covariates (PR-sq)",0.302241958350165,77
"tailup_de",0.00193169599359406,77
"taildown_de",0,77
"euclid_de",9.83402733805712e-09,77
"nugget",1.94602026212825e-07,77
"1 | as.factor(ch_watershed)",0.695826141220188,77
"Covariates (PR-sq)",0.447806813250753,79
"tailup_de",6.56937279948745e-05,79
"taildown_de",0,79
"euclid_de",5.91283212167899e-07,79
"nugget",4.47904365277234e-08,79
"1 | as.factor(ch_watershed)",0.552126856947603,79
"Covariates (PR-sq)",0.419570682281021,80
"tailup_de",0.000395917771028661,80
"taildown_de",0,80
"euclid_de",9.29382028980739e-05,80
"nugget",4.80220772683062e-08,80
"1 | as.factor(ch_watershed)",0.579940413722975,80
"Covariates (PR-sq)",0.339872776373775,82
"tailup_de",0.000107626244417753,82
"taildown_de",0,82
"euclid_de",1.74886996879774e-08,82
"nugget",1.05471482939393e-08,82
"1 | as.factor(ch_watershed)",0.660019569345959,82
"Covariates (PR-sq)",0.423680295502982,83
"tailup_de",0.000224092790694243,83
"taildown_de",0,83
"euclid_de",6.69091657187763e-06,83
"nugget",1.47126668662548e-10,83
"1 | as.factor(ch_watershed)",0.576088920642625,83
"Covariates (PR-sq)",0.345326920364276,84
"tailup_de",0.0194454841328713,84
"taildown_de",0,84
"euclid_de",2.87510889285482e-10,84
"nugget",1.75849698353325e-07,84
"1 | as.factor(ch_watershed)",0.635227419365644,84
"Covariates (PR-sq)",0.334517981596994,85
"tailup_de",0.0279392816837368,85
"taildown_de",0,85
"euclid_de",1.51164913823361e-06,85
"nugget",7.50804203639056e-11,85
"1 | as.factor(ch_watershed)",0.637541224995051,85
"Covariates (PR-sq)",0.290188942524811,86
"tailup_de",0.0856859430902095,86
"taildown_de",0,86
"euclid_de",8.44976134264263e-08,86
"nugget",1.42459872500563e-10,86
"1 | as.factor(ch_watershed)",0.624125029744906,86
"Covariates (PR-sq)",0.375288096821332,88
"tailup_de",1.39310767452448e-10,88
"taildown_de",0,88
"euclid_de",0.00128387083691629,88
"nugget",3.08403093755947e-11,88
"1 | as.factor(ch_watershed)",0.6234280321716,88
"Covariates (PR-sq)",0.361523507049896,89
"tailup_de",1.07416667659158e-05,89
"taildown_de",0,89
"euclid_de",0.00589992548131758,89
"nugget",6.95668726763714e-17,89
"1 | as.factor(ch_watershed)",0.63256582580202,89
"Covariates (PR-sq)",0.449973868837934,90
"tailup_de",1.59611350584307e-10,90
"taildown_de",0,90
"euclid_de",6.56891184999256e-05,90
"nugget",9.0015312165212e-17,90
"1 | as.factor(ch_watershed)",0.549960441883955,90
"Covariates (PR-sq)",0.415870976393163,91
"tailup_de",0.000157063949656354,91
"taildown_de",0,91
"euclid_de",3.95630661209407e-06,91
"nugget",1.46872907990367e-10,91
"1 | as.factor(ch_watershed)",0.583968003203695,91
"Covariates (PR-sq)",0.373304936001973,92
"tailup_de",1.00503645072657e-09,92
"taildown_de",0,92
"euclid_de",0.00696620752436189,92
"nugget",9.82396959055601e-12,92
"1 | as.factor(ch_watershed)",0.619728855458805,92
"Covariates (PR-sq)",0.362007594596235,95
"tailup_de",0.0196759855154443,95
"taildown_de",0,95
"euclid_de",6.34113325740554e-11,95
"nugget",1.39597687905533e-18,95
"1 | as.factor(ch_watershed)",0.61831641982491,95
"Covariates (PR-sq)",0.393471412903852,96
"tailup_de",0.0372862241828307,96
"taildown_de",0,96
"euclid_de",4.45713996919180e-09,96
"nugget",3.50204455139101e-13,96
"1 | as.factor(ch_watershed)",0.569242358455828,96
"Covariates (PR-sq)",0,97
"tailup_de",0.000161236271521802,97
"taildown_de",0,97
"euclid_de",0.454590001636765,97
"nugget",4.33349952922114e-06,97
"1 | as.factor(ch_watershed)",0.545244428592184,97
"Covariates (PR-sq)",0.410268951233922,99
"tailup_de",0.000638102416119722,99
"taildown_de",0,99
"euclid_de",2.5049717272288e-06,99
"nugget",3.90914277409992e-12,99
"1 | as.factor(ch_watershed)",0.589090441374322,99
