"pointid","xcoord","ycoord"
187,410283.616807137,4452815.31383607
188,410329.616803753,4452726.31384262
189,410258.616808977,4452671.31384667
190,410252.616809418,4452649.31384829
191,410364.616801178,4452613.31385094
192,410401.616798456,4452452.31386278
193,410407.616798014,4452436.31386396
194,410417.616797278,4452401.31386653
195,410434.616796028,4452368.31386896
196,410423.616796837,4452200.31388132
197,410410.616797793,4452158.31388441
198,410407.616798014,4452131.3138864
199,410425.61679669,4452106.31388824
200,410484.616792349,4452068.31389103
201,411337.61672959,4451122.31396064
202,411524.616715832,4451128.31396019
203,412200.616666095,4451160.31395784
204,412144.616670216,4451224.31395313
205,412067.616675881,4451212.31395401
206,411879.616689713,4451145.31395894
207,410952.616757916,4451163.31395762
208,411211.61673886,4451175.31395674
209,411208.616739081,4451177.31395659
210,410608.616783226,4451256.31395078
211,412341.616655721,4451260.31395048
212,412242.616663005,4451301.31394747
213,411778.616697144,4451264.31395019
214,411825.616693686,4451255.31395085
215,411153.616743128,4451312.31394666
216,411105.616746659,4451256.31395078
217,412085.616674556,4451343.31394438
218,410523.61678948,4451376.31394195
219,411744.616699645,4451378.3139418
220,411797.616695746,4451354.31394357
221,410797.61676932,4451404.31393989
222,410850.616765421,4451545.31392951
223,410772.61677116,4451555.31392878
224,410773.616771086,4451606.31392503
225,411252.616735844,4451732.31391576
226,411171.616741803,4451684.31391929
227,411080.616748499,4451619.31392407
228,410797.61676932,4451640.31392252
229,410792.616769688,4451643.3139223
230,411182.616740994,4451684.31391929
231,410329.616803753,4451690.31391885
232,411242.61673658,4451758.31391384
233,411104.616746733,4451776.31391252
234,410657.616779621,4451874.31390531
235,410856.616764979,4451905.31390303
236,410759.616772116,4451904.3139031
237,410162.61681604,4451954.31389942
238,410251.616809492,4452012.31389515
239,410829.616766966,4451980.31389751
240,410755.61677241,4451977.31389773
241,410185.616814348,4451991.3138967
242,410588.616784697,4452039.31389317
243,410468.616793526,4452052.31389221
244,410815.616767996,4452057.31389184
245,410745.616773146,4452040.31389309
246,410247.616809786,4452097.3138889
247,410763.616771822,4452107.31388817
248,410731.616774176,4452064.31389133
249,410229.61681111,4452122.31388706
250,410360.616801472,4452186.31388235
251,410395.616798897,4452180.31388279
252,410791.616769762,4452131.3138864
253,410730.61677425,4452069.31389096
254,410763.616771822,4452159.31388434
255,410718.616775133,4452098.31388883
256,410727.61677447,4452072.31389074
257,409935.616832741,4452460.31386219
258,410353.616801987,4452189.31388213
259,410220.616811773,4452210.31388059
260,410819.616767702,4452299.31387404
261,410467.6167936,4452299.31387404
262,410601.616783741,4452117.31388743
263,410321.616804342,4452303.31387374
264,410346.616802502,4452319.31387257
265,410647.616780356,4452320.31387249
266,410451.616794777,4452389.31386742
267,409626.616855476,4453223.31380606
268,409962.616830755,4453372.31379509
269,409925.616833477,4452427.31386462
270,410183.616814495,4452445.3138633
271,410462.616793968,4452461.31386212
272,410597.616784035,4452554.31385528
273,410572.616785874,4452577.31385359
274,410400.616798529,4452546.31385587
275,410718.616775133,4452579.31385344
276,409953.616831417,4452620.31385042
277,410175.616815083,4452683.31384579
278,410553.616787272,4452631.31384961
279,410540.616788229,4452643.31384873
