"pointid","xcoord","ycoord"
168,407543.617008731,4450186.3140295
169,407430.617017045,4450027.3140412
170,407429.617017119,4450241.31402545
171,407332.617024255,4450549.31400279
172,407281.617028008,4451391.31394084
173,407490.617012631,4451641.31392245
174,407494.617012336,4451433.31393775
175,407758.616992913,4451488.31393371
176,407708.616996591,4451939.31390053
177,407953.616978566,4451877.31390509
178,407820.616988351,4452106.31388824
179,406808.617062808,4449817.31405665
180,406790.617064133,4450079.31403737
181,406659.617073771,4450019.31404179
182,407157.617037131,4450256.31402435
183,406777.617065089,4450833.3139819
184,406801.617063323,4450882.31397829
185,406626.617076199,4450900.31397697
186,407002.617048535,4451837.31390803
187,407485.617012998,4452186.31388235
188,406690.61707149,4451966.31389854
189,407229.617031833,4452247.31387786
190,407429.617017119,4452172.31388338
191,407857.616985629,4452166.31388382
192,408309.616952373,4452122.31388706
193,408194.616960834,4452423.31386492
194,408267.616955463,4452498.3138594
195,408325.616951196,4452575.31385373
196,407398.617019399,4453164.3138104
197,407995.616975475,4453242.31380466
198,408248.616956861,4453337.31379767
199,406967.61705111,4452328.31387191
200,406758.617066487,4452267.31387639
201,406670.617072961,4452593.31385241
202,407199.617034041,4452759.31384019
203,406643.617074948,4453438.31379024
204,406724.617068988,4453512.31378479
205,406769.617065678,4453459.31378869
206,407028.617046622,4454034.31374639
207,407234.617031466,4453818.31376228
208,407134.617038823,4454076.3137433
209,406726.617068841,4453977.31375058
210,406877.617057732,4454012.31374801
211,408415.616944574,4452532.3138569
212,408523.616936628,4452843.31383401
213,408394.616946119,4452952.31382599
214,408741.616920589,4453125.31381327
215,409013.616900577,4452961.31382533
216,408756.616919485,4453189.31380856
217,409034.616899032,4453987.31374985
218,408902.616908744,4454020.31374742
219,406822.617061778,4454124.31373977
220,407284.617027787,4454325.31372498
221,406103.617114678,4454755.31369334
222,406026.617120343,4454955.31367863
223,406511.61708466,4454863.31368539
224,406550.61708179,4454972.31367737
225,406607.617077597,4454882.313684
226,406363.617095549,4455314.31365221
227,406549.617081864,4455325.3136514
228,405670.617146536,4455088.31366884
229,407831.616987542,4453510.31378494
230,407530.617009688,4454067.31374396
231,407460.617014838,4454602.3137046
232,407323.617024917,4454658.31370048
233,407890.616983201,4455146.31366457
234,407746.616993795,4455231.31365832
235,408345.616949724,4456016.31360056
236,407176.617035733,4455575.31363301
237,407940.616979522,4456050.31359806
238,407988.61697599,4456072.31359644
239,405138.617185677,4454581.31370614
240,405529.61715691,4454901.3136826
241,405737.617141606,4454676.31369915
242,405331.617171478,4454887.31368363
243,405513.617158087,4455242.31365751
244,405026.617193918,4455707.3136233
245,405540.6171561,4456286.3135807
246,405188.617181999,4456274.31358158
247,406088.617115782,4456548.31356142
248,405666.61714683,4456883.31353677
249,406189.617108351,4456694.31355068
250,405026.617193918,4456869.3135378
251,406877.617057732,4455456.31364176
252,406871.617058173,4455326.31365133
253,406742.617067664,4455709.31362315
254,406294.617100625,4455986.31360277
255,406996.617048976,4456344.31357643
256,407182.617035291,4456354.31357569
257,407356.617022489,4456248.31358349
258,406968.617051036,4456396.3135726
259,406712.617069871,4456512.31356407
260,406135.617112324,4456419.31357091
261,412716.616628131,4453777.3137653
262,412828.616619891,4453928.31375419
263,413922.6165394,4454873.31368466
264,412740.616626365,4454530.31370989
265,412767.616624379,4454781.31369143
266,413068.616602233,4454645.31370143
267,412796.616622245,4455001.31367524
268,413202.616592374,4454942.31367958
269,413232.616590167,4455552.3136347
270,413261.616588033,4455552.3136347
271,413374.616579719,4455851.3136127
272,413494.61657089,4456038.31359894
273,413488.616571332,4456101.31359431
274,413575.616564931,4456189.31358783
275,413565.616565666,4456233.3135846
276,413218.616591197,4456687.31355119
277,412818.616620626,4456820.31354141
278,412567.616639094,4456840.31353994
279,413014.616606206,4456912.31353464
280,414060.616529247,4457456.31349462
281,413949.616537414,4457777.313471
282,413026.616605323,4457663.31347939
283,412235.61666352,4457602.31348387
284,414087.616527261,4457689.31347747
285,413888.616541902,4457933.31345952
286,412775.61662379,4457836.31346666
287,412551.616640271,4457878.31346357
288,413200.616592521,4457799.31346938
289,412743.616626145,4457925.31346011
290,414037.616530939,4457848.31346577
291,412869.616616874,4458004.3134543
292,413750.616552055,4457813.31346835
293,413773.616550363,4458128.31344517
294,413724.616553968,4458466.31342031
295,414238.616516151,4458239.31343701
296,413434.616575305,4458310.31343178
297,413452.61657398,4458723.3134014
298,414579.616491062,4458554.31341383
299,414276.616513355,4458661.31340596
300,414531.616494594,4458489.31341861
301,414183.616520197,4458749.31339948
302,414384.616505409,4458639.31340758
303,413443.616574642,4459106.31337322
304,413382.61657913,4459159.31336932
305,413472.616572509,4459096.31337395
306,412301.616658664,4459474.31334614
307,411727.616700896,4458868.31339073
308,411534.616715096,4458897.3133886
309,411707.616702367,4459221.31336476
310,412083.616674704,4459123.31337197
311,412579.616638211,4459015.31337991
312,411886.616689198,4459348.31335541
313,412527.616642037,4459327.31335696
314,411499.616717671,4459939.31331193
315,411392.616725543,4460208.31329214
316,411988.616681693,4460201.31329265
317,412470.61664623,4455839.31361359
318,411309.61673165,4455851.3136127
319,411330.616730105,4455850.31361278
320,412122.616671834,4456206.31358658
321,411095.616747395,4455896.31360939
322,412578.616638284,4456139.31359151
323,412185.616667199,4456221.31358548
324,412071.616675586,4456673.31355222
325,411885.616689271,4456729.3135481
326,412582.61663799,4456833.31354045
327,411348.616728781,4457084.31352199
328,408607.616930448,4456139.31359151
329,408133.616965322,4456704.31354994
330,409360.616875046,4456328.31357761
331,408556.6169342,4456591.31355826
332,408318.616951711,4456778.3135445
333,409471.61686688,4456931.31353324
334,408473.616940307,4457224.31351169
335,408362.616948474,4457360.31350168
336,408301.616952962,4456793.3135434
337,408807.616915733,4457402.31349859
338,408301.616952962,4457584.3134852
339,409512.616863863,4455434.31364338
340,410080.616822073,4455904.3136088
341,410068.616822956,4456050.31359806
342,409933.616832888,4456508.31356436
343,410097.616820822,4456525.31356311
344,410067.616823029,4456671.31355237
345,410254.616809271,4456832.31354053
346,409997.61682818,4456855.31353883
